methods,w,lambda_,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown,threshold,num_neighbors,rho
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,1.0798632857738342,0.23236540845155265,-0.7059200948622351,,4.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,1.5427770131931728,0.21449350689774516,-0.7789795202460785,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.5068072828628207,0.20940194138594176,-0.7457570326092772,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,1.499637410340663,0.2050667800412119,-0.7465547416811403,,,0.7
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,1.04067551585729,0.20494473099833202,-0.7032310922243001,,4.0,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,1.293400938674099,0.20463778080816858,-0.5759982595407143,0.15,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,1.2904798163667193,0.20396364206005546,-0.5770320782902191,0.15,,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.0414538147954495,0.19968324929153786,-0.7068113269113082,,4.0,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.7,1.2840688042402364,0.1986889285539926,-0.5765871440011263,0.15,,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,1.189400653288557,0.19660583277193214,-0.7827315873733159,,,0.6
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,1.277028199992993,0.19399562260711584,-0.579506160550517,0.15,,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,1.5344919532539234,0.18644311579388503,-0.755497890136931,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.7082250041335871,0.1847038789694758,-0.6255431014675874,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.7034953015803196,0.18235507831569145,-0.6260289295005927,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.6423351499246035,0.1743436093154155,-0.6302454538975334,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.1657437538390025,0.15826488130127464,-0.7816386068999355,,,0.6
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,1.174854587898947,0.15816104547121396,-0.7818436989825176,,,0.6
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,0.8641387847564015,0.155579837820923,-0.7434879454545177,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,0.8543798098062529,0.13585126768923847,-0.742339960668678,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,0.8519485766127246,0.13471106124695534,-0.7412139812506441,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,0.9101690983536024,0.11018155529655119,-0.7404206687355158,,4.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,0.7555967086324017,0.07233132080547995,-0.8109789272344587,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,0.7833394452564091,0.060930654005142984,-0.809227192404343,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,0.761915061417562,0.049592066397493105,-0.8135807634621257,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,0.6870860124266029,0.03779268915870069,-0.8301902740337068,,,0.6
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,0.6453136069366388,0.03408830577665579,-0.8320497057191737,,,0.6
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,0.658341870640554,0.019768258991916372,-0.8350799356545167,,,0.6
