algorithm,beta,delta,ridge_const,final_wealth,exp_growth,sharpe
follow_the_regularized_leader,0.09,0.925,0.0125,10.333399973744669,0.0007735612338086473,0.924165127715009
follow_the_regularized_leader,0.09,0.95,0.0125,10.404271222640412,0.0007758252455515355,0.9239042096172347
follow_the_regularized_leader,0.08,0.85,0.0125,10.389855693594463,0.0007753659874276207,0.9236998482366602
follow_the_regularized_leader,0.07,0.925,0.015,10.993626669081566,0.000794076088494571,0.923444543142502
follow_the_regularized_leader,0.06,0.875,0.015,11.944627381386011,0.0008215573321514199,0.9229726397846986
follow_the_regularized_leader,0.07,0.9,0.015,10.606411339525652,0.000782198960458921,0.9179594248140042
follow_the_regularized_leader,0.075,0.95,0.015,10.511511809648182,0.0007792219342233564,0.9175755853736384
follow_the_regularized_leader,0.08,0.875,0.015,10.007429484816184,0.0007629439435661016,0.916284439136036
follow_the_regularized_leader,0.07,0.875,0.015,10.342251835559777,0.0007738448573824249,0.9160594858376387
follow_the_regularized_leader,0.075,0.925,0.015,10.273584588621686,0.0007716382901494851,0.9155496230838982
follow_the_regularized_leader,0.07,0.85,0.015,10.123990976275655,0.0007667797122763878,0.9132747859473817
follow_the_regularized_leader,0.075,0.9,0.015,10.081429906109369,0.0007653842690783251,0.9126904984992299
follow_the_regularized_leader,0.08,0.95,0.015,10.046729481949722,0.0007642421851147277,0.9121333154366196
follow_the_regularized_leader,0.06,0.925,0.015,12.776848831299043,0.0008438671242878572,0.9119421490679332
follow_the_regularized_leader,0.06,0.9,0.015,12.054861465653735,0.0008246002052697126,0.91147611376812
follow_the_regularized_leader,0.08,0.9,0.015,9.906406133272437,0.0007595831838492176,0.911161178625574
follow_the_regularized_leader,0.075,0.875,0.015,9.952846333488669,0.000761132353073632,0.9109776760529503
follow_the_regularized_leader,0.075,0.85,0.015,9.904872990503497,0.0007595319169600448,0.9109720625001974
follow_the_regularized_leader,0.08,0.925,0.015,9.941112264932695,0.0007607416072503924,0.910874595677393
follow_the_regularized_leader,0.05,0.925,0.015,69.32735819816149,0.0014040541926085802,0.8863164788443326
follow_the_regularized_leader,0.07,0.9,0.01,73.39156394266465,0.0014229244770963766,0.8823056367000303
follow_the_regularized_leader,0.05,0.95,0.015,62.274948056663014,0.0013685191212493403,0.872170711614844
follow_the_regularized_leader,0.06,0.925,0.0125,63.36052586652794,0.001374243473710778,0.8685940720384568
follow_the_regularized_leader,0.08,0.875,0.0075,51.564738913969904,0.0013060079776462605,0.8455739399308343
follow_the_regularized_leader,0.07,0.925,0.01,43.603089183541464,0.001250456442755404,0.8090238174444175
follow_the_regularized_leader,0.06,0.95,0.0125,39.51082897893597,0.0012178121184829166,0.7914845335575955
follow_the_regularized_leader,0.1,0.9,0.005,18.10559368440431,0.0009593312136021792,0.6268233977820523
follow_the_regularized_leader,0.05,0.875,0.005,17.519911441687903,0.0009484392284853564,0.6162600755722006
follow_the_regularized_leader,0.08,0.9,0.0075,16.29893070761283,0.0009245112636306538,0.6092460138644117
follow_the_regularized_leader,0.075,0.85,0.0075,15.80043108101994,0.0009142223329809829,0.6039772689083736
follow_the_regularized_leader,0.07,0.95,0.01,15.145595992658931,0.000900201986135128,0.5974747833466144
follow_the_regularized_leader,0.1,0.925,0.005,14.98064428470357,0.0008965746892427854,0.5944153418277325
follow_the_regularized_leader,0.05,0.875,0.0125,14.965112107985648,0.0008962310806962963,0.5942550742772189
follow_the_regularized_leader,0.05,0.9,0.0125,14.912670879299801,0.0008950683160499111,0.5940652323531748
follow_the_regularized_leader,0.08,0.925,0.0075,14.881223193699626,0.0008943690725087961,0.5932805156912505
follow_the_regularized_leader,0.075,0.875,0.0075,14.733111877805882,0.0008910558030422075,0.5919671383109602
follow_the_regularized_leader,0.05,0.925,0.0125,14.585140318550883,0.0008877122305456712,0.5914546883649484
